iter	Passed	Remaining
0	140	140399
1	142	71175
2	144	47887
3	145	36182
4	147	29303
5	148	24615
6	150	21279
7	151	18757
8	152	16822
9	154	15247
10	155	13971
11	157	12947
12	158	12050
13	160	11270
14	161	10591
15	162	9993
16	163	9471
17	165	9012
18	166	8587
19	167	8209
20	168	7865
21	169	7551
22	171	7275
23	173	7063
24	175	6832
25	176	6617
26	177	6409
27	179	6227
28	180	6054
29	182	5892
30	183	5738
31	184	5590
32	186	5469
33	188	5350
34	189	5233
35	191	5116
36	192	5006
37	193	4905
38	195	4805
39	196	4712
40	197	4620
41	198	4531
42	199	4449
43	201	4376
44	202	4304
45	203	4227
46	205	4157
47	206	4090
48	207	4030
49	208	3969
50	210	3909
51	211	3848
52	212	3794
53	213	3740
54	214	3691
55	216	3642
56	217	3596
57	218	3550
58	219	3507
59	221	3465
60	222	3424
61	223	3381
62	224	3341
63	225	3301
64	226	3262
65	228	3226
66	229	3191
67	231	3166
68	232	3136
69	233	3104
70	234	3071
71	236	3042
72	237	3015
73	238	2987
74	239	2958
75	241	2930
76	242	2902
77	243	2875
78	244	2849
79	245	2828
80	247	2805
81	248	2781
82	249	2760
83	251	2738
84	252	2718
85	253	2697
86	254	2675
87	256	2655
88	257	2635
89	258	2615
90	259	2596
91	261	2585
92	263	2567
93	264	2545
94	265	2526
95	266	2508
96	267	2490
97	268	2473
98	270	2457
99	271	2441
100	272	2424
101	273	2408
102	274	2393
103	276	2380
104	277	2364
105	278	2349
106	279	2335
107	281	2321
108	282	2307
109	283	2293
110	284	2280
111	286	2267
112	287	2254
113	288	2241
114	289	2228
115	290	2216
116	291	2203
117	293	2190
118	294	2179
119	295	2167
120	296	2156
121	298	2144
122	299	2133
123	300	2121
124	301	2110
125	302	2099
126	303	2087
127	304	2076
128	306	2067
129	307	2057
130	308	2047
131	309	2036
132	310	2026
133	312	2017
134	313	2008
135	314	1998
136	315	1988
137	316	1978
138	317	1968
139	318	1959
140	320	1949
141	321	1941
142	322	1933
143	323	1924
144	324	1916
145	326	1907
146	327	1898
147	328	1890
148	329	1881
149	330	1873
150	331	1865
151	332	1856
152	333	1848
153	335	1841
154	336	1833
155	337	1826
156	338	1819
157	339	1811
158	341	1804
159	342	1797
160	343	1790
161	344	1783
162	346	1776
163	347	1770
164	348	1763
165	349	1757
166	351	1752
167	352	1746
168	353	1739
169	354	1732
170	356	1726
171	357	1719
172	358	1713
173	359	1706
174	360	1700
175	361	1694
176	363	1688
177	364	1681
178	365	1677
179	367	1671
180	368	1666
181	369	1660
182	371	1656
183	372	1651
184	373	1646
185	374	1640
186	376	1634
187	377	1628
188	378	1623
189	379	1617
190	380	1613
191	382	1608
192	383	1603
193	384	1598
194	385	1592
195	387	1587
196	388	1582
197	389	1577
198	390	1572
199	391	1567
200	393	1562
201	394	1557
202	395	1552
203	396	1547
204	398	1543
205	399	1538
206	400	1534
207	401	1529
208	403	1525
209	404	1520
210	405	1515
211	406	1510
212	407	1506
213	408	1501
214	410	1497
215	411	1494
216	413	1490
217	414	1485
218	415	1481
219	416	1476
220	417	1472
221	418	1468
222	420	1463
223	421	1459
224	422	1455
225	423	1451
226	424	1447
227	426	1443
228	427	1439
229	428	1435
230	429	1431
231	431	1426
232	432	1422
233	433	1418
234	434	1415
235	435	1410
236	437	1406
237	438	1402
238	439	1399
239	440	1395
240	441	1391
241	443	1388
242	444	1385
243	445	1381
244	446	1377
245	448	1373
246	449	1369
247	450	1365
248	451	1361
249	452	1357
250	453	1353
251	454	1349
252	456	1346
253	457	1343
254	458	1339
255	459	1336
256	461	1332
257	462	1329
258	463	1325
259	464	1322
260	465	1318
261	466	1314
262	467	1311
263	469	1307
264	470	1304
265	471	1301
266	473	1298
267	474	1295
268	475	1292
269	476	1289
270	478	1286
271	479	1282
272	480	1279
273	481	1275
274	482	1272
275	483	1269
276	484	1265
277	487	1265
278	488	1262
279	489	1259
280	491	1256
281	492	1254
282	493	1251
283	495	1248
284	496	1244
285	497	1241
286	498	1238
287	499	1234
288	500	1232
289	502	1230
290	503	1227
291	504	1224
292	506	1221
293	507	1218
294	508	1215
295	509	1212
296	511	1209
297	512	1206
298	513	1203
299	514	1200
300	515	1197
301	517	1195
302	518	1192
303	520	1190
304	521	1187
305	522	1185
306	523	1182
307	525	1179
308	526	1176
309	527	1173
310	528	1170
311	529	1167
312	530	1165
313	532	1162
314	533	1160
315	534	1157
316	535	1154
317	537	1152
318	538	1149
319	539	1146
320	540	1143
321	541	1140
322	542	1137
323	543	1134
324	545	1133
325	547	1130
326	548	1128
327	549	1125
328	550	1123
329	552	1120
330	553	1118
331	554	1115
332	555	1113
333	556	1110
334	558	1107
335	559	1105
336	560	1102
337	562	1100
338	563	1098
339	564	1095
340	565	1093
341	566	1090
342	567	1087
343	568	1084
344	570	1082
345	571	1079
346	572	1076
347	573	1074
348	574	1071
349	575	1069
350	577	1067
351	578	1064
352	579	1062
353	580	1059
354	581	1057
355	583	1055
356	584	1052
357	585	1049
358	586	1047
359	587	1044
360	588	1041
361	589	1039
362	591	1037
363	592	1035
364	593	1033
365	595	1030
366	596	1028
367	597	1025
368	598	1023
369	599	1021
370	600	1018
371	601	1016
372	603	1013
373	604	1011
374	605	1008
375	606	1006
376	607	1004
377	608	1002
378	610	999
379	611	997
380	612	995
381	613	992
382	614	990
383	615	987
384	617	985
385	618	983
386	619	980
387	620	978
388	621	976
389	622	974
390	623	971
391	625	969
392	626	967
393	627	965
394	628	962
395	629	960
396	631	958
397	632	956
398	633	953
399	634	951
400	635	949
401	637	947
402	638	945
403	639	943
404	640	941
405	642	939
406	643	937
407	644	934
408	645	932
409	646	930
410	647	928
411	648	926
412	650	924
413	651	922
414	652	919
415	653	917
416	654	915
417	655	913
418	656	911
419	658	908
420	659	906
421	660	904
422	661	902
423	662	900
424	663	897
425	664	895
426	666	893
427	667	891
428	668	889
429	669	887
430	670	885
431	671	883
432	672	880
433	673	878
434	675	876
435	676	874
436	677	872
437	678	870
438	679	868
439	681	866
440	682	864
441	683	862
442	684	860
443	685	858
444	686	856
445	687	854
446	688	852
447	690	850
448	691	848
449	692	846
450	693	843
451	694	841
452	695	840
453	696	838
454	698	836
455	699	834
456	700	832
457	701	830
458	702	828
459	703	826
460	704	824
461	705	822
462	706	819
463	708	818
464	709	816
465	710	814
466	711	812
467	712	810
468	714	808
469	715	806
470	716	804
471	717	802
472	718	800
473	719	798
474	720	796
475	721	794
476	722	792
477	723	790
478	725	788
479	726	786
480	727	784
481	728	782
482	729	781
483	731	779
484	732	777
485	733	775
486	734	773
487	735	771
488	736	769
489	737	767
490	738	765
491	740	764
492	741	762
493	742	760
494	743	758
495	744	756
496	746	755
497	747	753
498	748	751
499	749	749
500	750	747
501	751	745
502	752	744
503	754	742
504	755	740
505	756	738
506	757	736
507	758	734
508	759	732
509	760	731
510	762	729
511	763	727
512	764	725
513	765	723
514	766	722
515	767	720
516	768	718
517	769	716
518	771	714
519	772	712
520	773	711
521	774	709
522	775	707
